year,team,Offense_pctile,Pitching_pctile,KTPI,wins,losses,win_loss_percentage
1988,Haitai Tigers,100.0,100.0,100.0,68,38,0.6
1994,LG Twins,100.0,100.0,100.0,81,45,0.6
1998,Hyundai Unicorns,100.0,100.0,100.0,77,43,0.6
2000,Hyundai Unicorns,100.0,100.0,100.0,91,40,0.7
2002,Samsung Lions,100.0,100.0,100.0,82,47,0.6
2008,SK Wyverns,100.0,100.0,100.0,83,43,0.7
2012,Samsung Lions,100.0,100.0,100.0,80,51,0.6
2019,Kiwoom Heroes,100.0,100.0,100.0,86,57,0.6
2016,NC Dinos,90.0,100.0,95.3,83,58,0.6
2018,SK Wyverns,90.0,100.0,95.3,78,65,0.5
2021,KT Wiz,90.0,100.0,95.3,75,59,0.6
2014,Samsung Lions,88.9,100.0,94.7,78,47,0.6
2016,Doosan Bears,100.0,90.0,94.7,93,50,0.6
1991,Haitai Tigers,87.5,100.0,94.1,79,42,0.7
1992,Binggre Eagles,87.5,100.0,94.1,81,43,0.7
