year,team,Offense_pctile,Pitching_pctile,KTPI,Balance,Complete_Score,win_loss_percentage
1988,Haitai Tigers,100.0,100.0,100.0,100.0,100.0,0.6
1994,LG Twins,100.0,100.0,100.0,100.0,100.0,0.6
1998,Hyundai Unicorns,100.0,100.0,100.0,100.0,100.0,0.6
2000,Hyundai Unicorns,100.0,100.0,100.0,100.0,100.0,0.7
2002,Samsung Lions,100.0,100.0,100.0,100.0,100.0,0.6
2008,SK Wyverns,100.0,100.0,100.0,100.0,100.0,0.7
2012,Samsung Lions,100.0,100.0,100.0,100.0,100.0,0.6
2019,Kiwoom Heroes,100.0,100.0,100.0,100.0,100.0,0.6
2016,Doosan Bears,100.0,90.0,94.7,90.0,90.0,0.6
2016,NC Dinos,90.0,100.0,95.3,90.0,90.0,0.6
2018,SK Wyverns,90.0,100.0,95.3,90.0,90.0,0.5
2021,KT Wiz,90.0,100.0,95.3,90.0,90.0,0.6
2014,Samsung Lions,88.9,100.0,94.7,88.9,88.9,0.6
1991,Binggre Eagles,100.0,87.5,93.4,87.5,87.5,0.6
1991,Haitai Tigers,87.5,100.0,94.1,87.5,87.5,0.7
